2026-04-01T13:17:59.3213623Z [NET] kind=tcp_accept packet= conn_id=90212789 uuid= ip=192.168.0.101 name="" detail=
2026-04-01T21:18:12.7345099+08:00 [BUILD] action=placed x=413 y=215 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:12.778536+08:00 [BUILD] action=constructed x=413 y=215 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:12.8532648+08:00 [BUILD] action=placed x=414 y=215 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:12.8532648+08:00 [BUILD] action=constructed x=414 y=215 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.0757963+08:00 [BUILD] action=placed x=406 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.0767975+08:00 [BUILD] action=constructed x=406 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.0773028+08:00 [BUILD] action=placed x=407 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.1197878+08:00 [BUILD] action=constructed x=407 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.1734133+08:00 [BUILD] action=placed x=408 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.1734133+08:00 [BUILD] action=constructed x=408 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.1961385+08:00 [BUILD] action=placed x=409 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.262955+08:00 [BUILD] action=constructed x=409 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.2905172+08:00 [BUILD] action=placed x=410 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.3112771+08:00 [BUILD] action=constructed x=410 y=218 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.5684299+08:00 [BUILD] action=placed x=406 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.5975666+08:00 [BUILD] action=constructed x=406 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.6531858+08:00 [BUILD] action=placed x=407 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.6531858+08:00 [BUILD] action=constructed x=407 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.695043+08:00 [BUILD] action=placed x=408 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.7447422+08:00 [BUILD] action=constructed x=408 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.7716272+08:00 [BUILD] action=placed x=409 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.7716272+08:00 [BUILD] action=constructed x=409 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.8111168+08:00 [BUILD] action=placed x=410 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.8606729+08:00 [BUILD] action=constructed x=410 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.8934294+08:00 [BUILD] action=placed x=411 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.8934294+08:00 [BUILD] action=constructed x=411 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.9594979+08:00 [BUILD] action=placed x=412 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:13.9594979+08:00 [BUILD] action=constructed x=412 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.0096395+08:00 [BUILD] action=placed x=413 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.0106398+08:00 [BUILD] action=constructed x=413 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.0756912+08:00 [BUILD] action=placed x=414 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.0756912+08:00 [BUILD] action=constructed x=414 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.0992008+08:00 [BUILD] action=placed x=415 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.1274017+08:00 [BUILD] action=constructed x=415 y=221 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.1688413+08:00 [BUILD] action=placed x=407 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.2200971+08:00 [BUILD] action=constructed x=407 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.2475058+08:00 [BUILD] action=placed x=408 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.2475058+08:00 [BUILD] action=constructed x=408 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.3393168+08:00 [BUILD] action=placed x=409 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.3393168+08:00 [BUILD] action=constructed x=409 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.3677723+08:00 [BUILD] action=placed x=410 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.3677723+08:00 [BUILD] action=constructed x=410 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.4057998+08:00 [BUILD] action=placed x=411 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.456571+08:00 [BUILD] action=constructed x=411 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.4844832+08:00 [BUILD] action=placed x=412 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.4859926+08:00 [BUILD] action=constructed x=412 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.5498408+08:00 [BUILD] action=placed x=413 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.5498408+08:00 [BUILD] action=constructed x=413 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.5982733+08:00 [BUILD] action=placed x=414 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.5982733+08:00 [BUILD] action=constructed x=414 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.6395062+08:00 [BUILD] action=placed x=415 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.6898871+08:00 [BUILD] action=constructed x=415 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.716673+08:00 [BUILD] action=placed x=416 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.716673+08:00 [BUILD] action=constructed x=416 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.7825637+08:00 [BUILD] action=placed x=417 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.7825637+08:00 [BUILD] action=constructed x=417 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.8353707+08:00 [BUILD] action=placed x=418 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.8353707+08:00 [BUILD] action=constructed x=418 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.8809479+08:00 [BUILD] action=placed x=419 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.9293088+08:00 [BUILD] action=constructed x=419 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.9575957+08:00 [BUILD] action=placed x=420 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:14.9905071+08:00 [BUILD] action=constructed x=420 y=223 block_id=257 block=传送带 team=1 rot=0
2026-04-01T21:18:25.9934999+08:00 [BUILD] action=deconstructing x=398 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.0426215+08:00 [BUILD] action=destroyed x=398 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.0715249+08:00 [BUILD] action=deconstructing x=399 y=202 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.0715249+08:00 [BUILD] action=destroyed x=399 y=202 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.1104377+08:00 [BUILD] action=deconstructing x=399 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.1390053+08:00 [BUILD] action=destroyed x=399 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.1900605+08:00 [BUILD] action=deconstructing x=399 y=210 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.1910594+08:00 [BUILD] action=destroyed x=399 y=210 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.2269921+08:00 [BUILD] action=deconstructing x=399 y=215 block_id=114 block=砂岩 team=1
2026-04-01T21:18:26.3360799+08:00 [BUILD] action=deconstructing x=400 y=202 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.3621731+08:00 [BUILD] action=destroyed x=400 y=202 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.4094189+08:00 [BUILD] action=deconstructing x=400 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.4094189+08:00 [BUILD] action=destroyed x=400 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.4828685+08:00 [BUILD] action=deconstructing x=400 y=210 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.5331954+08:00 [BUILD] action=destroyed x=400 y=210 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.5342035+08:00 [BUILD] action=deconstructing x=401 y=202 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.5342035+08:00 [BUILD] action=destroyed x=401 y=202 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.5733698+08:00 [BUILD] action=deconstructing x=401 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.6237956+08:00 [BUILD] action=destroyed x=401 y=207 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.6511911+08:00 [BUILD] action=deconstructing x=401 y=210 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.6526984+08:00 [BUILD] action=destroyed x=401 y=210 block_id=257 block=传送带 team=1
2026-04-01T21:18:26.6903524+08:00 [BUILD] action=deconstructing x=402 y=201 block_id=114 block=砂岩 team=1
